,VLTO US Equity,VLTO US Equity,VLTO US Equity,VLTO US Equity,VLTO US Equity,VLTO US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2023-09-27,80.6,77.25,83.9,77.25,850237.0,
2023-09-28,84.65,81.5,87.5,81.01,926153.0,
2023-09-29,84.56,85.94,86.99,84.5,991246.0,
2023-10-02,85.12,83.11,89.0,81.53,23045074.0,20949.5106
2023-10-03,77.05,82.65,83.25,76.0115,12671218.0,18963.3434
2023-10-04,77.8,76.67,80.62,76.35,8358286.0,19147.9315
2023-10-05,74.45,76.3,76.99,72.65,15351915.0,18323.4383
2023-10-06,77.98,73.04,78.47,73.04,7781111.0,19192.2326
2023-10-09,74.61,76.75,78.0,73.734,7000973.0,18362.8171
2023-10-10,75.0,73.96,75.51,72.5,5385623.0,18458.8028
2023-10-11,74.47,74.44,76.56,73.61,4602585.0,18328.3606
2023-10-12,74.23,73.75,75.3,72.75,4668757.0,18269.2924
2023-10-13,71.85,73.63,73.99,70.47,5286581.0,17683.5331
2023-10-16,74.21,71.62,74.84,71.62,4555029.0,18264.3701
2023-10-17,74.48,73.13,75.125,73.01,2584906.0,18330.8218
2023-10-18,72.45,73.5,73.9305,72.2709,2959766.0,17831.2035
2023-10-19,70.29,71.82,72.74,69.95,2867355.0,17299.59
2023-10-20,69.93,70.4,70.78,68.9,3151456.0,17210.9878
2023-10-23,71.9,69.3,72.47,67.65,4089800.0,17695.839
2023-10-24,72.01,72.29,73.71,71.79,3432182.0,17722.9119
2023-10-25,70.79,71.3,72.335,69.78,3298234.0,17422.6487
2023-10-26,70.0,66.33,72.23,65.51,3537099.0,17241.564
2023-10-27,67.99,68.64,69.44,67.75,3411996.0,16746.4848
2023-10-30,68.36,68.48,69.33,67.42,3393797.0,16837.6188
2023-10-31,69.0,68.92,69.73,67.65,3370678.0,16995.2559
2023-11-01,67.51,68.16,69.19,67.47,2503527.0,16628.2569
2023-11-02,70.28,68.0,70.54,66.69,2848740.0,17310.5302
2023-11-03,70.8,70.47,71.09,69.06,2225964.0,17438.6104
2023-11-06,68.26,70.05,70.07,68.08,2854957.0,16812.988
2023-11-07,70.07,67.75,70.25,67.36,2133633.0,17258.8056
2023-11-08,69.8,69.8,70.32,69.55,2053773.0,17192.3024
2023-11-09,69.63,69.09,70.32,69.09,2020509.0,17150.43
2023-11-10,70.55,69.31,70.78,69.14,1645264.0,17377.0334
2023-11-13,72.98,70.28,73.2,70.18,2964323.0,17975.562
2023-11-14,73.63,73.85,74.1,73.01,2814594.0,18135.6622
2023-11-15,73.91,73.47,74.64,73.01,3437210.0,18204.6285
2023-11-16,70.88,72.74,73.06,70.58,2446603.0,17458.3151
2023-11-17,70.99,70.9,71.37,70.06,1500407.0,17485.409
2023-11-20,70.76,71.0,71.35,70.58,1814335.0,17428.7581
2023-11-21,72.31,70.8,72.8,70.47,1767834.0,17810.5356
2023-11-22,72.94,72.8,73.83,72.34,1906288.0,17965.7097
2023-11-24,74.01,72.66,74.13,72.23,823414.0,18229.2593
2023-11-27,73.5,73.82,73.99,73.0,1649887.0,18103.6422
2023-11-28,73.32,72.925,74.539,72.85,2062140.0,18059.3067
2023-11-29,74.22,73.4,75.25,73.24,2519236.0,18280.984
2023-11-30,77.25,74.7,77.62,74.7,8454137.0,19027.2974
2023-12-01,76.51,77.17,77.17,75.97,2039378.0,18845.0294
2023-12-04,75.78,75.97,76.92,75.49,1625807.0,18665.2246
2023-12-05,75.55,75.4,76.14,75.2191,1411618.0,18608.5737
2023-12-06,75.83,75.55,76.49,75.02,2001213.0,18677.54
2023-12-07,74.63,75.8,76.29,74.62,1295954.0,18381.9703
2023-12-08,75.43,74.6,75.645,74.27,1131349.0,18579.0167
2023-12-11,76.82,75.0,77.36,74.65,1649031.0,18921.3849
2023-12-12,77.45,76.37,77.88,75.78,2329324.0,19076.559
2023-12-13,77.74,77.17,78.7041,76.3,3854108.0,19147.9884
2023-12-14,79.33,78.51,79.72,77.63,3230981.0,19539.6182
2023-12-15,78.85,78.87,79.93,78.03,6727619.0,19421.3903
2023-12-18,80.84,79.19,80.92,78.43,1954959.0,19911.5433
2023-12-19,83.44,81.6,83.62,80.99,2902975.0,20551.9443
2023-12-20,80.64,83.55,83.885,80.62,1704062.0,19862.2817
2023-12-21,81.12,81.32,81.98,79.8103,919333.0,19980.5096
2023-12-22,81.64,80.64,81.79,80.03,712712.0,20108.5898
2023-12-26,82.13,81.7,82.335,81.39,700231.0,20229.2807
2023-12-27,83.22,82.14,83.5,81.98,1018083.0,20497.7565
2023-12-28,83.04,83.0,83.44,82.27,799382.0,20453.4211
2023-12-29,82.26,82.84,83.36,81.86,675034.0,20261.3008
2024-01-02,81.02,81.1,82.0,79.95,1129572.0,19955.8788
2024-01-03,78.05,80.6,80.9,77.75,1198293.0,19224.3438
2024-01-04,76.61,77.45,78.28,76.57,1388580.0,18869.6602
2024-01-05,76.9,76.61,77.6399,76.25,1899250.0,18941.0896
2024-01-08,77.51,76.47,77.84,76.47,1555832.0,19091.3375
2024-01-09,76.74,77.5,77.575,76.72,2100342.0,18901.6803
2024-01-10,76.43,76.4,76.73,74.995,1624996.0,18825.3248
2024-01-11,76.08,76.4,76.59,74.96,1020115.0,18739.117
2024-01-12,75.76,76.21,76.42,75.0,1066082.0,18660.2984
2024-01-16,74.55,74.36,75.28,73.9103,1342697.0,18362.2656
2024-01-17,75.88,74.47,75.98,74.27,1469107.0,18689.8554
2024-01-18,76.01,75.84,76.58,75.03,1253369.0,18721.8754
2024-01-19,77.55,75.87,77.68,75.87,1280970.0,19101.1898
2024-01-22,79.69,77.66,79.76,77.5,1496056.0,19628.2891
2024-01-23,78.89,80.5,80.5,78.86,1202811.0,19431.2426
2024-01-24,76.26,79.5,79.5,76.22,1338565.0,18783.4524
2024-01-25,76.7,76.45,76.94,75.99,1081051.0,18891.828
2024-01-26,76.99,77.07,78.1,76.44,997632.0,18963.2573
2024-01-29,77.9,76.63,77.96,76.06,1044183.0,19187.3976
2024-01-30,78.33,77.74,78.37,76.825,1199127.0,19293.3101
2024-01-31,76.69,78.33,78.6,76.61,2405758.0,18889.3649
2024-02-01,76.79,76.75,77.13,75.17,1508019.0,18913.9957
2024-02-02,76.84,76.69,77.13,75.34,1069247.0,18926.3111
2024-02-05,75.77,76.07,76.61,75.49,1323430.0,18662.7615
2024-02-06,77.62,75.21,77.72,75.05,1552898.0,19118.4314
2024-02-07,81.16,80.24,82.96,79.428,2520341.0,19997.824
2024-02-08,82.56,81.73,83.89,81.5,2085564.0,20342.784
2024-02-09,82.13,82.57,83.55,81.99,1319529.0,20236.832
2024-02-12,83.5,82.53,83.79,82.04,1681787.0,20574.4
2024-02-13,82.19,81.92,83.78,81.2262,1068944.0,20251.616
2024-02-14,84.22,83.04,84.455,82.9,1413997.0,20751.808
2024-02-15,86.59,84.7,87.03,84.315,1767697.0,21335.776
2024-02-16,86.09,86.42,86.7,85.8,1486355.0,21212.576
2024-02-20,85.77,85.15,86.14,85.01,1534591.0,21133.728
2024-02-21,85.36,84.16,85.54,83.34,869074.0,21032.704
2024-02-22,85.94,86.04,86.585,85.7,1006638.0,21175.616
2024-02-23,86.71,86.41,87.405,86.36,1152707.0,21365.344
2024-02-26,86.31,86.78,87.44,86.16,893903.0,21266.784
2024-02-27,87.79,87.58,87.8703,86.785,1836644.0,21631.456
2024-02-28,87.57,87.59,88.81,86.85,1064607.0,21589.6718
2024-02-29,86.42,87.9,87.9,86.0106,2953361.0,21306.1487
2024-03-01,86.76,85.7,87.04,85.7,816792.0,21389.9729
2024-03-04,87.74,87.23,88.445,86.89,1522779.0,21631.5839
2024-03-05,88.5,87.37,88.79,86.83,1683550.0,21818.9558
2024-03-06,88.87,88.82,89.62,88.08,1298436.0,21910.1763
2024-03-07,89.32,89.27,90.55,89.19,934545.0,22021.1201
2024-03-08,89.26,89.45,90.51,88.88,698859.0,22006.3276
2024-03-11,88.76,88.87,89.17,87.33,1085483.0,21883.0566
2024-03-12,88.43,89.34,89.5625,88.4,1316783.0,21801.6978
2024-03-13,89.1,88.4,89.605,87.89,1281083.0,21966.8809
2024-03-14,88.23,88.93,89.14,87.66,1124650.0,21752.3895
2024-03-15,86.5,87.01,88.27,85.9,5058450.0,21325.872
2024-03-18,87.03,87.46,87.685,86.715,2674847.0,21456.5392
2024-03-19,87.44,87.32,87.73,87.0,1697454.0,21557.6214
2024-03-20,88.12,87.38,88.62,87.2975,1736101.0,21725.2698
2024-03-21,89.9,89.15,90.35,88.4321,1733501.0,22164.1144
2024-03-22,89.46,90.69,90.69,88.955,1495417.0,22055.636
2024-03-25,89.4,89.3,90.0,88.9,1350801.0,22040.8434
2024-03-26,89.26,89.55,90.19,89.15,1518791.0,22006.3276
2024-03-27,89.74,89.55,90.63,88.74,1395731.0,22124.6677
2024-03-28,88.66,89.76,89.85,88.63,1546473.0,21858.4025
2024-04-01,87.54,88.59,88.66,87.31,1172594.0,21582.2756
2024-04-02,86.58,87.31,87.31,86.55,1424182.0,21345.5954
2024-04-03,87.25,86.45,87.79,85.91,3038049.0,21510.7784
2024-04-04,86.69,88.12,88.12,86.6,1543259.0,21372.715
2024-04-05,87.09,86.96,87.58,86.59,1993784.0,21471.3317
2024-04-08,87.67,87.45,88.14,87.05,923803.0,21614.326
2024-04-09,89.2,88.01,89.68,87.58,1215083.0,21991.5351
2024-04-10,88.2,87.73,88.59,87.33,1142464.0,21744.9932
2024-04-11,87.41,88.29,88.94,86.25,1241028.0,21550.2251
2024-04-12,87.37,86.64,87.76,86.04,1299009.0,21540.3634
2024-04-15,89.86,88.47,90.77,88.47,2158363.0,22154.2527
2024-04-16,90.89,89.67,91.37,89.47,2097883.0,22408.1908
2024-04-17,90.55,91.58,92.15,90.0994,2265107.0,22324.3666
2024-04-18,88.8,90.55,90.65,88.42,2378132.0,21892.9183
2024-04-19,88.89,88.83,89.65,88.4102,5196762.0,21915.1071
2024-04-22,91.23,89.14,91.47,88.13,1995456.0,22492.0151
2024-04-23,93.72,91.78,93.845,91.4,2554696.0,23105.9043
2024-04-24,92.4,93.44,95.4,88.74,3370052.0,22808.6413
2024-04-25,93.79,92.64,94.11,90.86,1921351.0,23151.7583
2024-04-26,94.12,93.56,94.34,92.6052,1151386.0,23233.2177
2024-04-29,94.89,94.15,95.56,94.02,1869188.0,23423.2897
2024-04-30,93.68,94.53,95.44,93.6,1287858.0,23124.6051
2024-05-01,94.38,93.64,95.21,93.45,1091863.0,23297.3979
2024-05-02,93.85,94.4,95.0,93.11,1265870.0,23166.5691
2024-05-03,95.89,94.81,96.13,94.52,940032.0,23670.1365
2024-05-06,96.99,96.9,97.24,96.02,632566.0,23941.6679
2024-05-07,97.27,97.04,97.39,96.14,1240873.0,24010.785
2024-05-08,96.73,96.69,96.9,96.28,1038983.0,23877.4878
2024-05-09,95.94,96.69,97.46,95.88,1860593.0,23682.4788
2024-05-10,96.5,96.37,96.82,95.47,1521602.0,23820.713
2024-05-13,95.87,96.71,96.71,95.705,1273820.0,23665.1996
2024-05-14,96.94,96.17,97.23,95.235,1310860.0,23929.3256
2024-05-15,98.9,97.75,99.37,97.74,1425513.0,24413.1453
2024-05-16,98.45,98.68,99.2,98.41,1261172.0,24302.0642
2024-05-17,98.6,98.3,98.94,97.42,1319357.0,24339.0912
2024-05-20,98.62,98.74,99.79,97.34,1278032.0,24344.0282
2024-05-21,99.53,98.62,99.75,98.15,882185.0,24568.6587
2024-05-22,100.76,99.54,100.92,99.51,1207450.0,24872.2802
2024-05-23,99.86,100.88,101.05,99.815,1175442.0,24650.1182
2024-05-24,102.19,100.1,102.31,99.795,1867268.0,25225.2711
2024-05-28,100.67,102.01,102.58,100.29,2062378.0,24850.064
2024-05-29,98.54,99.79,100.96,98.45,1613538.0,24324.2804
2024-05-30,99.23,98.81,99.53,97.99,1786147.0,24494.6047
2024-05-31,98.58,99.46,100.445,98.065,6836502.0,24334.1543
2024-06-03,98.92,100.85,101.21,97.32,1350132.0,24418.0822
2024-06-04,100.44,98.52,100.47,98.42,1233040.0,24793.2893
2024-06-05,100.8,100.57,100.99,99.6106,761968.0,24882.1541
2024-06-06,99.31,100.91,101.71,98.732,1119679.0,24514.3524
2024-06-07,99.22,98.695,100.02,98.31,1061995.0,24492.1362
2024-06-10,99.85,98.88,100.03,98.345,943819.0,24647.6497
2024-06-11,100.19,99.44,100.2,98.27,798168.0,24731.5776
2024-06-12,101.13,101.0,101.46,99.61,833467.0,24963.6135
2024-06-13,101.01,100.74,101.15,99.62,708945.0,24933.9919
2024-06-14,100.75,100.36,100.99,99.51,918133.0,24869.8118
2024-06-17,100.57,100.05,101.4,99.725,925222.0,24825.3794
2024-06-18,101.22,100.6,101.61,100.29,999340.0,24985.8298
2024-06-20,100.28,100.43,101.1,99.56,1734440.0,24753.7938
2024-06-21,98.87,100.0,100.07,98.21,3261181.0,24405.7399
2024-06-24,99.75,99.46,100.73,98.92,1377479.0,24622.965
2024-06-25,98.95,99.55,100.27,98.59,1196741.0,24425.4876
2024-06-26,98.38,98.42,98.86,98.2,1441326.0,24284.7849
2024-06-27,97.61,98.77,98.845,97.28,1353623.0,24094.7129
2024-06-28,95.47,97.87,98.0488,95.46,9333707.0,23566.4608
2024-07-01,95.45,96.02,96.29,94.92,1486910.0,23561.5239
2024-07-02,94.35,95.1,95.58,93.77,2085417.0,23289.9925
2024-07-03,95.33,94.72,95.88,94.64,1198586.0,23531.9023
2024-07-05,95.6,94.49,95.775,94.0,933066.0,23598.5509
2024-07-08,95.9,96.15,96.15,95.23,1204833.0,23672.605
2024-07-09,95.7,96.06,96.38,95.43,838188.0,23623.2356
2024-07-10,95.81,95.71,96.23,95.21,1132419.0,23650.3887
2024-07-11,97.1,96.01,98.1,95.83,1976795.0,23968.8211
2024-07-12,98.76,98.16,99.6299,98.01,1052781.0,24378.5867
2024-07-15,98.01,99.0,99.355,97.932,1088666.0,24193.4516
2024-07-16,99.2,98.5,99.89,98.5,1111793.0,24487.1993
2024-07-17,98.04,99.5,99.815,97.51,1527529.0,24200.857
2024-07-18,98.63,98.5,99.365,98.18,849559.0,24346.4966
2024-07-19,98.46,98.8,99.26,98.26,1011369.0,24304.5327
2024-07-22,99.53,98.94,99.76,98.1,930752.0,24568.6587
2024-07-23,100.44,98.91,100.87,98.875,971621.0,24793.2893
2024-07-24,99.3,100.32,100.79,98.9635,1364107.0,24511.884
2024-07-25,99.61,99.03,101.59,98.92,1687420.0,24588.4065
2024-07-26,104.87,104.0,107.86,104.0,3164725.0,25914.0482
2024-07-29,105.1,106.08,106.8975,104.94,2195536.0,25970.8826
2024-07-30,107.06,105.17,107.5,105.17,1702057.0,26455.2112
2024-07-31,106.56,107.24,107.7656,106.15,1486084.0,26331.658
2024-08-01,106.7,106.72,107.34,105.715,1531157.0,26366.2529
2024-08-02,104.84,105.86,106.49,103.05,1698801.0,25906.635
2024-08-05,101.99,102.56,103.75,101.61,1773548.0,25202.3817
2024-08-06,104.12,102.34,105.03,101.76,1612939.0,25728.7184
2024-08-07,104.23,105.12,106.6,103.961,1183669.0,25755.9001
2024-08-08,107.24,104.54,107.33,103.72,1173657.0,26499.6903
2024-08-09,106.1,106.76,107.09,105.655,1466862.0,26217.989
2024-08-12,106.46,105.9,107.455,105.46,245936.0,26306.9471
