,BSX US Equity,BSX US Equity,BSX US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2014-01-02,11.91,15902.4873,7971602.0
2014-01-03,11.93,15929.1917,7278892.0
2014-01-06,12.33,16463.2803,14817898.0
2014-01-07,12.44,16610.1547,8661269.0
2014-01-08,12.79,17077.4822,14313744.0
2014-01-09,12.78,17064.1299,10029340.0
2014-01-10,13.11,17504.753,14995374.0
2014-01-13,12.92,17251.0609,9197256.0
2014-01-14,13.18,17598.2185,8036162.0
2014-01-15,13.34,17811.854,14748177.0
2014-01-16,13.55,18092.2505,20084875.0
2014-01-17,13.51,18038.8416,11157044.0
2014-01-21,13.98,18666.3957,20088072.0
2014-01-22,13.87,18519.5213,11150753.0
2014-01-23,13.65,18225.7726,12428146.0
2014-01-24,13.34,17811.854,10556561.0
2014-01-27,13.21,17638.2752,10145796.0
2014-01-28,13.28,17731.7407,7322502.0
2014-01-29,13.18,17598.2185,8557749.0
2014-01-30,13.56,18105.6027,11052836.0
2014-01-31,13.53,18065.546,14001031.0
2014-02-03,13.01,17371.2309,18772368.0
2014-02-04,12.85,17157.5954,29030072.0
2014-02-05,12.76,17037.4255,22161669.0
2014-02-06,12.83,17130.891,13854960.0
2014-02-07,13.1,17491.4008,15209542.0
2014-02-10,12.91,17237.7087,11968957.0
2014-02-11,12.85,17157.5954,18535591.0
2014-02-12,12.96,17304.4698,9368145.0
2014-02-13,13.03,17397.9353,10309839.0
2014-02-14,13.3,17758.4451,14856356.0
2014-02-18,13.38,17865.2628,10683009.0
2014-02-19,13.06,17437.9919,11678972.0
2014-02-20,13.23,17664.9796,7949121.0
2014-02-21,13.14,17544.8097,6452101.0
2014-02-24,13.08,17464.6964,6551683.0
2014-02-25,13.39,17878.615,15637019.0
2014-02-26,13.34,17664.7313,7316824.0
2014-02-27,13.3,17611.7636,8489797.0
2014-02-28,13.1,17346.925,10209066.0
2014-03-03,13.0,17214.5057,9447291.0
2014-03-04,13.23,17519.0701,13015236.0
2014-03-05,13.38,17717.699,9877387.0
2014-03-06,13.55,17942.8117,9379753.0
2014-03-07,13.7,18141.4407,16277896.0
2014-03-10,13.46,17823.6344,8147866.0
2014-03-11,13.18,17452.8604,10731249.0
2014-03-12,12.88,17055.6026,20050835.0
2014-03-13,12.74,16870.2156,23579816.0
2014-03-14,13.01,17227.7477,19886332.0
2014-03-17,12.98,17188.0219,9973769.0
2014-03-18,13.21,17492.5862,6499447.0
2014-03-19,13.15,17413.1346,8716568.0
2014-03-20,13.1,17346.925,7486964.0
2014-03-21,12.82,16976.151,15490846.0
2014-03-24,12.84,17002.6349,11359238.0
2014-03-25,13.26,17549.2231,13779251.0
2014-03-26,13.23,17509.519,10501885.0
2014-03-27,13.21,17483.0496,11154810.0
2014-03-28,13.2,17469.8149,6161622.0
2014-03-31,13.52,17893.3256,8554218.0
2014-04-01,13.62,18025.6726,6763744.0
2014-04-02,13.69,18118.3156,6616478.0
2014-04-03,13.77,18224.1933,9393478.0
2014-04-04,13.5,17866.8561,12360984.0
2014-04-07,13.22,17496.2843,8826939.0
2014-04-08,12.91,17086.0084,10182463.0
2014-04-09,13.54,17919.795,15143201.0
2014-04-10,12.93,17112.4778,11189217.0
2014-04-11,12.69,16794.8448,25143148.0
2014-04-14,13.31,17615.3967,16741597.0
2014-04-15,13.35,17668.3355,13633183.0
2014-04-16,13.5,17866.8561,9740700.0
2014-04-17,13.65,18065.3768,8675932.0
2014-04-21,13.72,18158.0197,9735404.0
2014-04-22,13.75,18197.7238,8953033.0
2014-04-23,13.69,18118.3156,9002742.0
2014-04-24,13.75,18197.7238,8433479.0
2014-04-25,13.38,17708.0396,10712204.0
2014-04-28,13.58,17972.7338,14544552.0
2014-04-29,12.73,16847.7836,35508150.0
2014-04-30,12.61,16688.9671,27599007.0
2014-05-01,12.6,16675.7324,14400526.0
2014-05-02,12.81,16953.6613,17337614.0
2014-05-05,13.07,17297.7637,14657185.0
2014-05-06,12.95,17138.9472,11597504.0
2014-05-07,12.77,16900.7224,9748590.0
2014-05-08,12.8,16930.2484,7199089.0
2014-05-09,12.73,16837.6611,12957848.0
2014-05-12,12.93,17102.1963,9417041.0
2014-05-13,12.8,16930.2484,8806647.0
2014-05-14,12.79,16917.0217,12606188.0
2014-05-15,12.69,16784.7541,12954774.0
2014-05-16,12.8,16930.2484,10994048.0
2014-05-19,12.83,16969.9287,9444739.0
2014-05-20,12.62,16692.1668,11616662.0
2014-05-21,12.8,16930.2484,6774229.0
2014-05-22,12.68,16771.5274,14167930.0
2014-05-23,12.83,16969.9287,8081602.0
2014-05-27,12.95,17128.6498,8627895.0
2014-05-28,13.15,17393.1849,11589107.0
2014-05-29,12.99,17181.5568,13999286.0
2014-05-30,12.83,16969.9287,12814622.0
2014-06-02,12.88,17036.0625,6363956.0
2014-06-03,12.97,17155.1033,6046451.0
2014-06-04,13.05,17260.9174,7743789.0
2014-06-05,13.18,17432.8652,8770689.0
2014-06-06,13.13,17366.7314,6823015.0
2014-06-09,12.76,16877.3414,16697436.0
2014-06-10,12.84,16983.1555,24582661.0
2014-06-11,12.87,17022.8357,17673344.0
2014-06-12,12.8,16930.2484,25173947.0
2014-06-13,12.8,16930.2484,11668063.0
2014-06-16,12.92,17088.9695,14079328.0
2014-06-17,12.6,16665.7133,37104584.0
2014-06-18,12.64,16718.6203,13569759.0
2014-06-19,12.66,16745.0738,17818429.0
2014-06-20,12.71,16811.2076,12072281.0
2014-06-23,12.62,16692.1668,7133208.0
2014-06-24,12.58,16639.2598,7790416.0
2014-06-25,12.7,16797.9809,9018537.0
2014-06-26,12.63,16705.3936,14205411.0
2014-06-27,12.76,16877.3414,14360278.0
2014-06-30,12.77,16890.5682,5761070.0
2014-07-01,12.99,17181.5568,8828733.0
2014-07-02,13.13,17366.7314,7628159.0
2014-07-03,13.11,17340.2779,3812260.0
2014-07-07,13.02,17221.2371,5929210.0
2014-07-08,13.0,17194.7836,9966037.0
2014-07-09,13.02,17221.2371,6304174.0
2014-07-10,13.1,17327.0511,10079424.0
2014-07-11,13.29,17578.3595,14815101.0
2014-07-14,13.03,17234.4638,9524008.0
2014-07-15,12.85,16996.3822,14605548.0
2014-07-16,12.87,17022.8357,8821063.0
2014-07-17,12.46,16480.5387,8086042.0
2014-07-18,12.67,16758.3006,7147922.0
2014-07-21,12.55,16599.5795,8546380.0
2014-07-22,12.85,16996.3822,9623250.0
2014-07-23,13.02,17221.2371,8927007.0
2014-07-24,13.26,17538.6792,18676751.0
2014-07-25,13.11,17340.2779,14072670.0
2014-07-28,12.97,17155.1033,7107826.0
2014-07-29,12.89,17049.2892,5543705.0
2014-07-30,13.14,17379.9582,10821387.0
2014-07-31,12.78,16903.7949,9831087.0
2014-08-01,12.59,16652.4865,9141941.0
2014-08-04,12.81,16943.4752,10021619.0
2014-08-05,12.88,17036.0625,12039199.0
2014-08-06,12.85,17035.3463,10090830.0
2014-08-07,12.26,16253.1787,11662582.0
2014-08-08,12.33,16345.9782,15177554.0
2014-08-11,12.26,16253.1787,6727817.0
2014-08-12,12.37,16399.0065,9228443.0
2014-08-13,12.48,16544.8344,8315672.0
2014-08-14,12.58,16677.4052,5865471.0
2014-08-15,12.46,16518.3203,6157454.0
2014-08-18,12.64,16756.9477,5770646.0
2014-08-19,12.59,16690.6623,8104963.0
2014-08-20,12.6,16703.9194,6536143.0
2014-08-21,12.66,16783.4618,5745281.0
2014-08-22,12.49,16558.0915,7862701.0
2014-08-25,12.46,16518.3203,5699910.0
2014-08-26,12.44,16491.8061,7042892.0
2014-08-27,12.38,16412.2636,5777809.0
2014-08-28,12.35,16372.4924,5559668.0
2014-08-29,12.68,16809.976,9164667.0
2014-09-02,12.59,16690.6623,6770498.0
2014-09-03,12.44,16491.8061,7171348.0
2014-09-04,12.24,16226.6645,8566546.0
2014-09-05,12.01,15921.7517,31428785.0
2014-09-08,12.32,16332.7212,33066832.0
2014-09-09,12.38,16412.2636,20661948.0
2014-09-10,12.51,16584.6057,20114915.0
2014-09-11,12.54,16624.3769,12622735.0
2014-09-12,12.5,16571.3486,13674583.0
2014-09-15,12.39,16425.5207,15903972.0
2014-09-16,12.34,16359.2353,23483014.0
2014-09-17,12.22,16200.1504,21608252.0
2014-09-18,12.42,16465.2919,12799694.0
2014-09-19,12.41,16452.0349,10684918.0
2014-09-22,12.33,16345.9782,6842063.0
2014-09-23,12.17,16133.865,7891761.0
2014-09-24,12.15,16107.3508,9327529.0
2014-09-25,11.95,15842.2092,12174361.0
2014-09-26,12.03,15948.2659,6205507.0
2014-09-29,11.92,15802.438,7170903.0
2014-09-30,11.81,15656.6101,9021982.0
2014-10-01,11.8,15643.3531,11237223.0
2014-10-02,11.85,15709.6384,10095697.0
2014-10-03,11.93,15815.6951,6024922.0
2014-10-06,11.93,15815.6951,11060257.0
2014-10-07,11.78,15616.8389,10542189.0
2014-10-08,12.14,16094.0937,14099055.0
2014-10-09,11.92,15802.438,22081447.0
2014-10-10,11.92,15802.438,12127014.0
2014-10-13,11.74,15563.8106,11006255.0
2014-10-14,11.56,15325.1832,10881595.0
2014-10-15,11.44,15166.0982,12214258.0
2014-10-16,11.45,15179.3553,10614162.0
2014-10-17,11.37,15073.2987,13678309.0
2014-10-20,11.61,15391.4686,6051454.0
2014-10-21,12.03,15948.2659,13140772.0
2014-10-22,12.32,16332.7212,40324161.0
2014-10-23,12.71,16849.7472,21460130.0
2014-10-24,12.99,17220.9454,12397254.0
2014-10-27,13.1,17366.7733,11774112.0
2014-10-28,13.21,17512.6012,13080051.0
2014-10-29,13.14,17419.8016,12756601.0
2014-10-30,13.18,17472.8299,10052887.0
2014-10-31,13.28,17605.4007,18024960.0
2014-11-03,13.3,17631.9149,10502492.0
2014-11-04,13.26,17578.8866,10239842.0
2014-11-05,13.33,17682.1099,18702788.0
2014-11-06,13.36,17721.9046,15675202.0
2014-11-07,13.24,17562.7259,12553243.0
2014-11-10,13.45,17841.2887,16470532.0
2014-11-11,13.41,17788.2291,12611312.0
2014-11-12,13.41,17788.2291,15560509.0
2014-11-13,13.41,17788.2291,9621130.0
2014-11-14,13.36,17721.9046,9229325.0
2014-11-17,13.38,17748.4344,11966472.0
2014-11-18,13.68,18146.3814,27529627.0
2014-11-19,13.09,17363.7524,21932868.0
2014-11-20,12.95,17178.0438,13987354.0
2014-11-21,12.94,17164.7789,13105601.0
2014-11-24,13.14,17430.0769,8030048.0
2014-11-25,12.86,17058.6597,13598722.0
2014-11-26,12.81,16992.3352,10995621.0
2014-11-28,12.87,17071.9246,5447184.0
2014-12-01,12.89,17098.4544,10042656.0
2014-12-02,12.94,17164.7789,6727752.0
2014-12-03,13.04,17297.4279,7927702.0
2014-12-04,12.78,16952.5405,7584051.0
2014-12-05,12.91,17124.9842,6528144.0
2014-12-08,12.94,17164.7789,9787544.0
2014-12-09,13.04,17297.4279,11469971.0
2014-12-10,12.6,16713.7723,9518872.0
2014-12-11,12.89,17098.4544,12638789.0
2014-12-12,13.0,17244.3683,21820215.0
2014-12-15,12.8,16979.0703,20251656.0
2014-12-16,12.95,17178.0438,18073674.0
2014-12-17,13.02,17270.8981,12873145.0
2014-12-18,13.26,17589.2557,11673375.0
2014-12-19,13.15,17443.3418,18616603.0
2014-12-22,13.1,17377.0173,15902008.0
2014-12-23,13.06,17323.9577,10461802.0
2014-12-24,13.13,17416.812,1817734.0
2014-12-26,13.17,17469.8716,4478818.0
2014-12-29,13.23,17549.461,3456439.0
2014-12-30,13.37,17735.1695,6711125.0
2014-12-31,13.25,17575.9908,7875390.0
2015-01-02,13.22,17536.1961,10521165.0
2015-01-05,13.81,18318.8251,17359453.0
2015-01-06,13.7,18172.9112,18291706.0
2015-01-07,14.03,18610.6529,17244214.0
2015-01-08,14.59,19353.4872,27109635.0
2015-01-09,14.65,19433.0766,17955612.0
2015-01-12,14.58,19340.2223,11255709.0
2015-01-13,14.5,19234.1031,13517434.0
2015-01-14,14.5,19234.1031,12896457.0
2015-01-15,14.31,18982.07,13151600.0
2015-01-16,14.46,19181.0435,8766383.0
2015-01-20,14.33,19008.5998,8455470.0
2015-01-21,14.39,19088.1892,7515948.0
2015-01-22,14.93,19804.4937,13704720.0
2015-01-23,14.84,19685.1096,13029983.0
2015-01-26,14.96,19844.2884,8538884.0
2015-01-27,14.74,19552.4607,7902629.0
2015-01-28,14.59,19353.4872,6854345.0
2015-01-29,14.85,19698.3745,10214116.0
2015-01-30,14.81,19645.3149,14003090.0
2015-02-02,14.61,19380.017,9675227.0
2015-02-03,14.65,19433.0766,18812699.0
2015-02-04,14.96,19844.2884,27499061.0
2015-02-05,15.13,20069.7917,20838359.0
2015-02-06,14.72,19525.9309,13945241.0
2015-02-09,14.45,19167.7786,11297148.0
2015-02-10,14.72,19525.9309,7891791.0
2015-02-11,14.58,19340.2223,6227268.0
2015-02-12,14.74,19552.4607,6392228.0
2015-02-13,14.98,19870.8182,6731386.0
2015-02-17,14.84,19685.1096,9950668.0
2015-02-18,16.68,22125.851,55380561.0
2015-02-19,16.45,21820.7583,20098648.0
2015-02-20,16.47,21847.2881,13707222.0
2015-02-23,16.31,21635.0497,11848968.0
2015-02-24,16.62,22046.2616,25563870.0
2015-02-25,16.92,22512.2686,18525775.0
2015-02-26,16.82,22379.2174,11324182.0
2015-02-27,16.9,22485.6584,11291042.0
2015-03-02,17.06,22698.5403,16094917.0
2015-03-03,16.76,22299.3866,10133569.0
2015-03-04,16.79,22339.302,8162231.0
2015-03-05,16.97,22578.7942,9624110.0
2015-03-06,16.56,22033.2842,10105199.0
2015-03-09,16.6,22086.5047,6748133.0
2015-03-10,16.42,21847.0124,10594239.0
2015-03-11,16.58,22059.8944,7045134.0
2015-03-12,16.89,22472.3532,9202731.0
2015-03-13,16.61,22099.8098,7262460.0
2015-03-16,17.24,22938.0326,20810340.0
2015-03-17,17.4,23150.9145,22619968.0
2015-03-18,17.76,23629.899,15151248.0
2015-03-19,17.81,23696.4246,9669579.0
2015-03-20,17.84,23736.34,18358664.0
2015-03-23,17.98,23922.6117,7467637.0
2015-03-24,17.83,23877.5934,7673720.0
2015-03-25,17.52,23462.4474,9581757.0
2015-03-26,17.44,23355.3129,7598272.0
2015-03-27,17.83,23877.5934,6516489.0
2015-03-30,18.07,24198.9968,8079628.0
2015-03-31,17.75,23770.459,8294660.0
2015-04-01,17.65,23636.5409,9809989.0
2015-04-02,17.72,23730.2835,5569950.0
2015-04-06,17.68,23676.7163,11406143.0
2015-04-07,17.69,23690.1081,6549194.0
2015-04-08,17.89,23957.9443,10918282.0
2015-04-09,18.1,24239.1722,7349298.0
2015-04-10,18.1,24239.1722,7935388.0
2015-04-13,17.8,23837.418,6675172.0
2015-04-14,17.9,23971.3361,8542447.0
2015-04-15,18.04,24158.8214,8319832.0
2015-04-16,18.16,24319.5231,7440752.0
2015-04-17,18.4,24640.9265,17765905.0
2015-04-20,18.19,24359.6985,9604192.0
2015-04-21,18.31,24520.4002,9914466.0
2015-04-22,18.41,24654.3183,7415350.0
2015-04-23,18.42,24667.7101,6664239.0
2015-04-24,18.34,24560.5756,4823711.0
2015-04-27,17.98,24078.4705,13442244.0
2015-04-28,17.75,23770.459,19394319.0
2015-04-29,17.59,23556.19,18931389.0
2015-04-30,17.82,23864.2016,23450505.0
2015-05-01,17.74,23757.0671,21817947.0
2015-05-04,17.88,23944.5525,9516849.0
2015-05-05,17.37,23261.5703,11369753.0
2015-05-06,17.3,23193.6931,9747563.0
2015-05-07,17.18,23032.812,7998806.0
2015-05-08,17.51,23475.2351,4921801.0
2015-05-11,17.47,23421.608,6128304.0
2015-05-12,17.27,23153.4729,7323202.0
2015-05-13,17.23,23099.8458,7501445.0
2015-05-14,17.91,24011.5054,11845989.0
2015-05-15,17.85,23931.0649,7508732.0
2015-05-18,18.06,24212.6068,7840556.0
2015-05-19,18.12,24293.0474,5825072.0
2015-05-20,17.98,24105.3527,6047380.0
2015-05-21,17.87,23957.8784,4508177.0
2015-05-22,17.83,23904.2514,3607077.0
2015-05-26,17.77,23823.8108,7217053.0
2015-05-27,17.99,24118.7595,6455027.0
2015-05-28,18.27,24494.1488,26959330.0
2015-05-29,18.27,24494.1488,33431740.0
2015-06-01,18.51,24815.911,10199461.0
2015-06-02,18.29,24520.9623,6791113.0
2015-06-03,18.23,24440.5217,5717612.0
2015-06-04,17.91,24011.5054,6965018.0
2015-06-05,17.85,23931.0649,5828118.0
2015-06-08,17.7,23729.9635,13034158.0
2015-06-09,17.39,23314.354,11875736.0
2015-06-10,17.74,23783.5905,11729691.0
2015-06-11,17.81,23877.4378,7874201.0
2015-06-12,17.56,23542.2689,5390726.0
2015-06-15,17.37,23287.5404,8346481.0
2015-06-16,17.58,23569.0824,7131384.0
2015-06-17,17.61,23609.3027,6413357.0
2015-06-18,18.02,24158.9798,9627548.0
2015-06-19,17.84,23917.6581,25850683.0
2015-06-22,17.89,23984.6919,6729521.0
2015-06-23,17.95,24065.1325,8247459.0
2015-06-24,17.94,24051.7257,7616906.0
2015-06-25,18.23,24440.5217,9633260.0
2015-06-26,18.09,24252.8271,10722756.0
2015-06-29,17.81,23877.4378,11824050.0
2015-06-30,17.7,23729.9635,13621663.0
2015-07-01,17.8,23864.0311,8344493.0
2015-07-02,17.57,23555.6756,7220514.0
2015-07-06,17.55,23528.8621,11220630.0
2015-07-07,17.79,23850.6243,9335293.0
2015-07-08,17.45,23394.7945,9052387.0
2015-07-09,17.45,23394.7945,6763335.0
2015-07-10,17.6,23595.8959,7325202.0
2015-07-13,17.67,23689.7432,8891660.0
2015-07-14,17.89,23984.6919,8237538.0
2015-07-15,17.73,23770.1838,4522981.0
2015-07-16,17.95,24065.1325,4126693.0
2015-07-17,17.94,24051.7257,5927482.0
2015-07-20,17.88,23971.2852,4136076.0
2015-07-21,17.76,23810.404,5299823.0
2015-07-22,18.02,24158.9798,11203542.0
2015-07-23,17.61,23609.3027,18670558.0
2015-07-24,17.36,23274.1337,8270737.0
2015-07-27,17.11,22938.9647,8748611.0
2015-07-28,17.51,23475.2351,10517576.0
2015-07-29,17.32,23220.5066,7823629.0
2015-07-30,17.25,23126.6593,5798704.0
2015-07-31,17.34,23247.3202,6842415.0
2015-08-03,17.11,22938.9647,8510030.0
2015-08-04,17.09,22912.1512,5973328.0
2015-08-05,17.67,23689.7432,11585062.0
2015-08-06,17.42,23411.723,8602642.0
2015-08-07,17.29,23237.0086,6834262.0
2015-08-10,17.33,23290.7669,5290426.0
2015-08-11,17.14,23035.4151,4035195.0
2015-08-12,17.31,23263.8878,9548226.0
2015-08-13,17.25,23183.2504,5679990.0
2015-08-14,17.43,23425.1625,7934431.0
2015-08-17,17.57,23613.3165,5539577.0
2015-08-18,17.56,23599.8769,6309360.0
2015-08-19,17.36,23331.0856,6310608.0
2015-08-20,16.87,22672.5469,8041305.0
2015-08-21,16.35,21973.6895,11847328.0
2015-08-24,15.85,21301.7112,11303797.0
2015-08-25,15.78,21207.6342,11695706.0
2015-08-26,16.37,22000.5686,11468955.0
2015-08-27,16.94,22766.6238,11910996.0
2015-08-28,17.07,22941.3382,8056219.0
2015-08-31,16.74,22497.8325,5975658.0
2015-09-01,16.09,21624.2608,10265268.0
2015-09-02,16.51,22188.7225,7200035.0
2015-09-03,16.53,22215.6017,6513862.0
2015-09-04,16.24,21825.8543,5427913.0
2015-09-08,16.95,22780.0634,10884377.0
2015-09-09,16.63,22349.9973,7073645.0
2015-09-10,16.78,22551.5908,7546483.0
2015-09-11,16.89,22699.426,5115664.0
2015-09-14,16.73,22484.393,4588434.0
2015-09-15,17.08,22954.7778,10292996.0
2015-09-16,17.11,22995.0965,5215704.0
2015-09-17,17.2,23116.0525,8475398.0
2015-09-18,16.75,22511.2721,11096926.0
2015-09-21,16.72,22470.9534,8365017.0
2015-09-22,16.55,22242.4808,5103611.0
2015-09-23,16.75,22511.2721,6698582.0
2015-09-24,16.79,22565.0304,8841033.0
2015-09-25,16.31,21919.9312,8928164.0
2015-09-28,15.88,21342.0299,12272464.0
2015-09-29,16.0,21503.3047,9296629.0
2015-09-30,16.41,22054.3269,14058382.0
2015-10-01,16.69,22430.6347,9983483.0
2015-10-02,16.92,22739.7447,12171025.0
2015-10-05,17.07,22941.3382,11321830.0
2015-10-06,16.57,22269.3599,14237686.0
2015-10-07,16.82,22605.3491,11451677.0
2015-10-08,16.79,22565.0304,8714640.0
2015-10-09,16.88,22685.9864,8346784.0
2015-10-12,16.94,22766.6238,8284247.0
2015-10-13,16.73,22484.393,6035917.0
2015-10-14,16.66,22390.316,7783764.0
2015-10-15,16.85,22645.6677,7456743.0
2015-10-16,17.07,22941.3382,5756471.0
2015-10-19,17.08,22954.7778,6424019.0
2015-10-20,17.19,23102.613,8056570.0
2015-10-21,17.19,23102.613,10816669.0
2015-10-22,16.42,22067.7664,16967782.0
2015-10-23,16.73,22484.393,8740318.0
2015-10-26,16.7,22444.0743,7442334.0
2015-10-27,16.82,22605.3491,9835778.0
2015-10-28,18.4,24728.8004,27839934.0
2015-10-29,18.18,24433.13,13897286.0
2015-10-30,18.28,24567.5256,10157270.0
2015-11-02,18.86,25347.0204,13118670.0
2015-11-03,18.67,25091.6687,7958516.0
2015-11-04,18.67,25114.7919,7518806.0
2015-11-05,18.94,25477.9946,9920505.0
2015-11-06,18.78,25262.7634,13546788.0
2015-11-09,18.59,25007.1763,8181648.0
2015-11-10,18.8,25289.6673,7812489.0
2015-11-11,18.01,24226.9632,21238269.0
2015-11-12,17.74,23863.7605,8626275.0
2015-11-13,17.51,23554.3656,8375203.0
2015-11-16,17.74,23863.7605,9255369.0
2015-11-17,17.58,23648.5293,8340050.0
2015-11-18,17.77,23904.1164,14926198.0
2015-11-19,17.62,23702.3371,6045524.0
2015-11-20,17.87,24038.6359,8357495.0
2015-11-23,18.1,24348.0307,11663666.0
2015-11-24,18.32,24643.9737,11863685.0
2015-11-25,18.38,24724.6854,5379069.0
2015-11-27,18.33,24657.4256,2057999.0
2015-11-30,18.28,24590.1658,6438392.0
2015-12-01,18.52,24913.0127,9490058.0
2015-12-02,18.41,24765.0412,6044573.0
2015-12-03,18.04,24267.319,7867020.0
2015-12-04,18.51,24899.5607,7113414.0
2015-12-07,18.57,24980.2724,8696487.0
2015-12-08,18.73,25195.5036,14709321.0
2015-12-09,18.48,24859.2049,11208883.0
2015-12-10,18.44,24805.3971,8081361.0
2015-12-11,18.1,24348.0307,8994891.0
2015-12-14,18.39,24738.1373,9432798.0
2015-12-15,18.66,25101.34,8590998.0
2015-12-16,18.88,25397.2829,8069320.0
2015-12-17,18.6,25020.6283,6507225.0
2015-12-18,18.19,24469.0983,14910934.0
2015-12-21,18.27,24576.7139,5201790.0
2015-12-22,18.49,24872.6568,7754967.0
2015-12-23,18.74,25208.9556,4657743.0
