,CEG US Equity,CEG US Equity,CEG US Equity,CEG US Equity,CEG US Equity,CEG US Equity
2023-05-12,79.85,79.45,80.39,78.86,1991046.0,26084.1154
2023-05-15,80.27,80.63,81.09,79.18,2048283.0,26221.3142
2023-05-16,79.0,80.19,80.19,78.33,3709131.0,25806.451
2023-05-17,80.39,79.09,80.63,78.71,2329453.0,26260.5139
2023-05-18,81.4,80.27,81.47,79.5615,2849339.0,26590.4445
2023-05-19,82.3,81.73,83.235,81.53,2444827.0,26884.442
2023-05-22,83.53,82.73,83.96,82.31,1908314.0,27286.2387
2023-05-23,84.04,83.36,84.56,83.165,2232178.0,27452.8373
2023-05-24,83.31,84.04,84.37,82.55,2430342.0,27214.3726
2023-05-25,82.75,83.2,83.2,81.9,1863123.0,27031.4408
2023-05-26,83.85,82.95,83.95,82.31,2267083.0,27390.7711
2023-05-30,83.7,83.86,85.045,83.135,2198211.0,27341.7715
2023-05-31,84.02,83.53,84.55,82.45,5214718.0,27446.304
2023-06-01,88.88,84.875,89.162,84.79,3646920.0,29033.8907
2023-06-02,87.54,88.66,89.05,87.27,3225572.0,28596.161
2023-06-05,87.51,87.82,88.81,87.18,1819035.0,28586.3611
2023-06-06,89.55,87.14,89.89,87.14,2311537.0,29252.7556
2023-06-07,90.81,89.55,90.88,89.13,2452135.0,29664.3521
2023-06-08,92.3,91.49,92.4678,91.06,3075697.0,30151.0814
2023-06-09,93.29,92.3,93.77,92.0895,2530126.0,30474.4787
2023-06-12,93.75,93.0,94.02,92.88,1720675.0,30624.7441
2023-06-13,94.25,93.96,95.33,93.59,2429899.0,30788.0761
2023-06-14,93.2,94.53,95.0,92.77,2573214.0,30445.0789
2023-06-15,93.46,93.72,93.75,92.96,3712292.0,30530.0116
2023-06-16,92.89,93.59,94.52,92.74,4963362.0,30343.8131
2023-06-20,91.99,93.13,93.36,91.89,1848651.0,30049.8156
2023-06-21,90.5,90.88,91.035,89.185,2684868.0,29563.0863
2023-06-22,89.25,90.5,90.685,87.865,3205645.0,29154.7564
2023-06-23,90.36,89.64,90.7,89.12,2875874.0,29517.3533
2023-06-26,90.63,90.25,91.2,89.69,1890481.0,29605.5526
2023-06-27,90.85,90.97,91.015,89.98,1472912.0,29677.4187
2023-06-28,90.55,90.9,90.9,89.71,1605448.0,29579.4195
2023-06-29,90.87,90.51,91.345,90.14,1738753.0,29683.952
2023-06-30,91.55,92.05,92.29,91.04,2667050.0,29906.0834
2023-07-03,91.6,91.01,91.74,90.33,1089148.0,29922.4166
2023-07-05,92.14,91.42,93.21,91.35,2087275.0,30098.8152
2023-07-06,91.0,91.47,91.47,89.85,2263325.0,29726.4183
2023-07-07,91.33,91.0,91.71,90.66,1334025.0,29834.2174
2023-07-10,93.6,91.38,93.63,91.38,1539399.0,30575.7445
2023-07-11,94.36,93.84,94.43,92.86,1260944.0,30824.0091
2023-07-12,96.06,94.94,96.16,94.08,1532735.0,31379.3378
2023-07-13,95.27,95.85,96.07,94.88,1462439.0,31121.2733
2023-07-14,95.0,94.89,95.535,94.6993,1260094.0,31033.074
2023-07-17,96.18,94.47,96.92,94.47,1951449.0,31418.5375
2023-07-18,95.37,96.0,96.65,93.89,1925349.0,31153.9397
2023-07-19,94.73,94.83,95.54,93.93,1785290.0,30944.8748
2023-07-20,96.89,95.5,97.32,95.24,1600295.0,31650.4689
2023-07-21,96.6,97.58,98.15,96.31,5081249.0,31555.7363
2023-07-24,96.55,96.6,96.81,95.76,1077838.0,31539.4031
2023-07-25,97.52,95.95,98.16,95.9,854831.0,31856.2671
2023-07-26,97.34,96.67,98.24,96.67,1242977.0,31797.4676
2023-07-27,95.42,97.73,97.75,95.2,897917.0,31170.2729
2023-07-28,95.74,96.26,96.66,95.26,1135916.0,31274.8053
2023-07-31,96.65,95.84,96.69,95.4,1170237.0,31572.0695
2023-08-01,96.3,96.24,97.09,96.07,1469785.0,31457.7371
2023-08-02,95.55,95.99,96.025,94.43,2040340.0,31212.7392
2023-08-03,101.14,95.97,103.5744,95.76,3511390.0,33038.7906
2023-08-04,103.94,101.92,104.705,101.79,2723695.0,33953.4496
2023-08-07,103.75,104.58,104.65,102.7753,1759799.0,33365.136
2023-08-08,104.81,102.96,104.93,102.96,1207475.0,33706.0231
2023-08-09,105.11,104.62,105.9,104.3082,1646789.0,33802.5006
2023-08-10,105.72,105.97,106.85,105.11,1563665.0,33998.6716
2023-08-11,106.56,105.44,106.7166,104.99,1414131.0,34268.8086
2023-08-14,107.0,106.46,107.6,105.7125,2404047.0,34410.3089
2023-08-15,106.24,106.39,106.585,105.62,1709598.0,34165.8992
2023-08-16,105.1,106.4,106.45,105.0,1835274.0,33799.2847
2023-08-17,104.82,105.48,106.145,104.57,1800645.0,33709.2391
2023-08-18,104.77,104.53,105.54,104.51,1668985.0,33693.1595
2023-08-21,106.11,104.6,106.4557,104.28,1376986.0,34124.0923
2023-08-22,106.26,105.66,106.545,105.51,1276904.0,34172.3311
2023-08-23,108.44,106.95,109.26,106.95,1393486.0,34873.4009
2023-08-24,106.92,108.9,110.25,106.84,1498696.0,34384.5816
2023-08-25,105.87,106.82,107.44,105.57,1383831.0,34046.9103
2023-08-28,105.37,106.305,107.35,105.23,1088020.0,33886.1145
2023-08-29,105.54,105.23,106.17,104.8,1131566.0,33940.7851
2023-08-30,105.74,105.34,106.2675,105.09,1167381.0,34005.1034
2023-08-31,104.16,105.95,106.09,103.77,2035492.0,33496.9886
2023-09-01,107.29,105.63,107.41,105.2,1338797.0,34503.5705
2023-09-05,106.05,106.55,106.73,105.151,1433173.0,34104.7968
2023-09-06,106.64,106.33,107.79,105.99,1337820.0,34294.5359
2023-09-07,108.54,107.86,110.955,107.18,1951232.0,34905.5601
2023-09-08,108.64,108.23,109.66,108.23,1428143.0,34937.7192
2023-09-11,109.98,108.8,110.397,108.65,1820745.0,35368.6521
2023-09-12,108.5,109.54,110.095,108.15,1557153.0,34892.6964
2023-09-13,109.27,108.78,110.09,108.51,1894602.0,35140.322
2023-09-14,112.46,109.76,112.62,109.525,2308302.0,36166.1994
2023-09-15,109.93,112.46,112.68,109.8,4287721.0,35352.5725
2023-09-18,110.74,110.43,112.25,110.41,1358465.0,35613.0618
2023-09-19,110.54,111.09,111.38,110.3,1972105.0,35548.7434
2023-09-20,110.13,110.93,111.18,109.91,924618.0,35416.8908
2023-09-21,109.94,109.63,110.64,109.51,1446365.0,35355.7884
2023-09-22,110.36,109.46,110.7399,108.6149,1210578.0,35490.8569
2023-09-25,112.21,109.72,112.92,109.495,2115199.0,36085.8015
2023-09-26,108.49,111.66,111.715,107.93,2309718.0,34889.4805
2023-09-27,110.75,108.98,111.29,108.98,2819227.0,35616.2777
2023-09-28,109.32,110.77,110.98,108.835,1550711.0,35156.4016
2023-09-29,109.08,110.04,110.71,108.64,2867658.0,35079.2196
2023-10-02,104.73,108.3,108.3,102.76,2892497.0,33680.2958
2023-10-03,104.89,103.21,104.92,102.405,2557014.0,33731.7505
2023-10-04,106.16,104.64,106.6,104.225,1973879.0,34140.1719
2023-10-05,107.88,106.98,108.5,106.61,1589212.0,34693.3096
2023-10-06,110.17,106.55,110.58,105.13,2095806.0,35429.7545
2023-10-09,111.38,110.17,111.487,109.97,1258465.0,35818.8804
2023-10-10,113.0,110.96,113.49,110.96,1464432.0,36339.8589
2023-10-11,115.07,113.91,115.178,113.31,1353505.0,37005.5537
2023-10-12,115.72,114.91,116.16,114.46,1299693.0,37214.5883
2023-10-13,113.69,116.77,117.39,112.99,1699401.0,36561.7572
2023-10-16,116.83,114.77,117.12,114.61,1701684.0,37571.555
2023-10-17,117.15,116.05,117.99,115.7101,1214629.0,37674.4644
2023-10-18,116.07,117.33,118.645,115.81,1050670.0,37327.1454
2023-10-19,114.29,116.0,116.61,114.11,980971.0,36754.7122
2023-10-20,112.1,114.11,114.79,111.92,1654390.0,36050.4264
2023-10-23,112.11,111.83,113.03,110.3993,950873.0,36053.6423
2023-10-24,114.27,113.26,115.3,113.26,1931045.0,36748.2804
2023-10-25,112.03,114.23,114.27,111.67,1575018.0,36027.915
2023-10-26,112.72,112.0,113.03,111.14,1652758.0,36249.8133
2023-10-27,110.78,113.0,113.36,109.8927,1128928.0,35625.9254
2023-10-30,113.03,111.86,113.23,111.505,1271621.0,36349.5067
2023-10-31,112.92,113.12,113.51,111.17,1942034.0,36314.1316
2023-11-01,114.85,113.59,115.38,112.83,2751302.0,36934.8035
2023-11-02,117.19,114.91,117.9,114.38,1894671.0,37687.328
2023-11-03,117.07,118.65,118.67,116.8495,1853261.0,37648.737
2023-11-06,124.73,118.99,125.6243,118.06,2530839.0,40112.1292
2023-11-07,119.87,124.44,124.9744,118.66,2271497.0,38549.1937
2023-11-08,121.18,120.42,121.48,118.965,1730233.0,38970.4788
2023-11-09,120.63,121.59,124.355,120.52,1603238.0,38527.0125
2023-11-10,121.77,121.45,122.725,121.3755,1219732.0,38891.1077
2023-11-13,121.72,121.38,122.236,120.91,891599.0,38875.1386
2023-11-14,126.52,124.05,126.71,123.38,1433265.0,40408.1707
2023-11-15,121.99,126.58,127.24,121.6904,1982239.0,38961.3716
2023-11-16,121.67,123.0,123.83,121.51,1474553.0,38859.1695
2023-11-17,121.69,122.2,123.52,121.6,1487904.0,38865.5571
2023-11-20,122.28,122.45,122.85,121.48,1041732.0,39053.9923
2023-11-21,122.51,122.9,123.18,121.85,984695.0,39127.4501
2023-11-22,123.25,122.9,123.84,121.975,1376724.0,39363.7926
2023-11-24,123.86,123.07,124.3,123.05,532492.0,39558.6154
2023-11-27,125.1,123.93,125.38,123.37,1073180.0,39954.6487
2023-11-28,124.45,124.98,126.5,123.76,2003088.0,39747.0506
2023-11-29,120.58,123.55,123.94,119.76,2078787.0,38511.0435
2023-11-30,121.04,120.59,121.86,120.515,2649969.0,38657.959
2023-12-01,119.88,120.62,120.94,119.65,1455026.0,38287.4763
2023-12-04,118.92,119.0,119.55,118.05,1946950.0,37980.8699
2023-12-05,118.31,118.705,118.94,115.885,1805964.0,37786.047
2023-12-06,112.63,119.34,119.67,112.22,2629780.0,35971.9591
2023-12-07,110.53,113.26,113.44,109.45,3497039.0,35301.2575
2023-12-08,111.21,109.99,111.6102,109.65,2627281.0,35518.4371
2023-12-11,116.15,111.55,116.3,110.67,2582916.0,37096.1826
2023-12-12,114.49,116.16,116.4,113.85,1846150.0,36566.009
2023-12-13,116.43,114.59,116.75,113.53,1731074.0,37185.6095
2023-12-14,115.6,116.64,117.81,115.37,2456446.0,36920.5227
2023-12-15,118.75,115.67,120.87,115.61,6046770.0,37926.575
2023-12-18,119.36,119.57,121.54,118.91,2019799.0,38121.3978
2023-12-19,120.81,119.77,121.05,119.255,1012750.0,38584.5012
2023-12-20,117.01,119.83,120.125,117.0,1324391.0,37370.8508
2023-12-21,118.31,117.49,118.43,116.81,904587.0,37786.047
2023-12-22,115.33,115.0,117.98,114.02,1188462.0,36834.2896
2023-12-26,117.57,115.59,117.84,115.59,740712.0,37549.7046
2023-12-27,117.42,117.28,117.76,116.88,541357.0,37501.7973
2023-12-28,117.11,118.71,118.78,116.95,559694.0,37402.789
2023-12-29,116.89,116.73,117.27,115.93,849870.0,37332.525
2024-01-02,115.25,116.4,117.23,114.97,1362814.0,36808.7391
2024-01-03,115.85,115.5,117.1662,115.5,1372365.0,37000.3681
2024-01-04,115.36,116.21,117.109,115.0,1348862.0,36843.8711
2024-01-05,116.24,115.11,117.6624,115.11,1729869.0,37124.9269
2024-01-08,117.03,116.19,117.16,115.03,1351735.0,37377.2385
2024-01-09,116.49,116.44,116.93,115.17,1514048.0,37204.7724
2024-01-10,115.85,116.02,116.4299,114.965,1090523.0,37000.3681
2024-01-11,112.91,115.0,115.29,111.48,1609390.0,36061.3859
2024-01-12,112.91,113.94,114.42,112.74,1556906.0,36061.3859
2024-01-16,111.81,112.37,112.835,111.3,1416999.0,35710.0661
2024-01-17,111.92,111.23,112.0,109.44,1484467.0,35745.1981
2024-01-18,111.41,111.37,111.9,110.25,1614877.0,35582.3134
2024-01-19,114.45,111.45,114.61,111.45,1684303.0,36553.2337
2024-01-22,117.21,114.46,117.375,114.33,1876800.0,37434.7272
2024-01-23,118.69,117.73,120.56,117.16,1929364.0,37907.4121
2024-01-24,115.67,119.14,119.52,115.34,1514735.0,36942.8794
2024-01-25,120.55,117.9,120.59,117.04,1425765.0,38501.462
2024-01-26,121.27,120.07,122.41,120.07,1558807.0,38731.4168
2024-01-29,121.01,121.09,121.742,120.005,1801469.0,38648.3776
2024-01-30,121.88,121.33,122.31,120.7,1285466.0,38926.2396
2024-01-31,122.0,122.78,124.18,121.365,1666070.0,38964.5654
2024-02-01,127.63,122.0,127.7,122.0,1937524.0,40762.6843
2024-02-02,129.71,127.01,133.07,126.43,3781674.0,41426.9982
2024-02-05,127.03,127.9,128.42,125.85,1878057.0,40571.0553
2024-02-06,131.01,127.76,131.495,127.19,2656914.0,41842.1944
2024-02-07,132.5,131.96,133.8,130.81,2087576.0,42318.0731
2024-02-08,130.72,132.55,133.97,130.17,1228722.0,41749.5737
2024-02-09,132.17,130.02,132.51,130.0,1245398.0,42212.6772
2024-02-12,128.51,131.82,132.19,127.96,1206893.0,41043.7402
2024-02-13,127.91,127.91,128.81,126.73,1503717.0,40852.1112
2024-02-14,128.67,128.3,129.435,127.69,1372350.0,41094.8413
2024-02-15,131.5,129.92,131.62,128.83,1348940.0,41998.6914
2024-02-16,131.16,131.26,132.66,130.49,1295739.0,41890.1017
2024-02-20,131.8,131.0,132.06,129.39,2121235.0,42094.506
2024-02-21,131.4,132.29,132.5812,130.14,983415.0,41966.7533
2024-02-22,133.39,132.4,134.06,131.65,1529900.0,42602.3228
2024-02-23,133.99,133.49,134.15,131.35,2052310.0,42793.9518
2024-02-26,133.22,134.68,135.1999,132.93,1494701.0,42548.0279
2024-02-27,155.76,135.0,156.67,135.0,4888282.0,49746.8911
2024-02-28,170.83,158.48,170.98,156.5,8227485.0,54559.9731
2024-02-29,168.45,171.18,171.3058,163.37,4537148.0,53799.8447
2024-03-01,169.99,167.04,170.31,165.05,4557632.0,54291.6925
2024-03-04,175.99,172.96,177.035,169.62,3818194.0,56207.9826
2024-03-05,176.77,177.39,185.58,175.42,4323775.0,56457.1003
2024-03-06,179.98,176.77,180.81,175.01,2073556.0,56715.4666
2024-03-07,179.58,181.75,182.05,176.21,1968527.0,56589.4182
2024-03-08,170.57,179.58,179.83,168.46,3196966.0,53750.1786
2024-03-11,167.91,170.31,170.96,166.4,2601773.0,52911.9569
2024-03-12,168.37,166.57,169.06,164.2,2617024.0,53056.9125
2024-03-13,167.86,171.24,171.31,166.44,1639110.0,52896.2008
2024-03-14,164.64,167.85,168.39,163.27,3012353.0,51881.5114
2024-03-15,165.52,164.18,168.39,162.67,4532036.0,52158.8178
2024-03-18,168.84,167.69,171.08,166.19,2006774.0,53205.0193
2024-03-19,172.41,169.0,174.01,168.26,1922186.0,54330.0011
2024-03-20,175.71,172.92,176.77,172.6509,1969318.0,55369.9002
2024-03-21,174.13,177.46,177.81,172.37,2212136.0,54872.0091
2024-03-22,178.24,175.0,178.37,174.215,1608373.0,56167.1562
2024-03-25,187.26,180.0,189.05,179.54,3570578.0,59009.547
2024-03-26,185.41,189.9,198.83,184.48,4228679.0,58426.5733
2024-03-27,184.89,188.08,190.12,182.34,2452118.0,58262.7104
2024-03-28,184.85,185.03,186.83,183.335,2050809.0,58250.1056
2024-04-01,185.98,186.03,188.81,183.4,1977459.0,58606.1922
2024-04-02,188.13,184.685,188.37,184.12,1875517.0,59283.7023
2024-04-03,190.26,188.48,193.21,186.87,2555783.0,59954.9099
2024-04-04,183.11,193.44,195.5,182.96,3747795.0,57701.7951
2024-04-05,193.08,182.32,194.85,181.42,4331379.0,60843.5509
2024-04-08,191.98,194.865,197.64,188.11,1663470.0,60496.9179
2024-04-09,188.1,192.6,194.84,185.05,1958767.0,59274.2486
2024-04-10,191.08,183.5,193.83,182.5,3862140.0,60213.309
2024-04-11,192.88,191.57,194.28,190.0,2267301.0,60780.5267
2024-04-12,191.67,191.96,193.2499,190.35,1801856.0,60399.2304
2024-04-15,185.4,194.09,196.0,184.78,2531456.0,58423.4221
2024-04-16,186.65,185.03,188.275,183.11,2982876.0,58817.3233
2024-04-17,185.4,187.92,189.04,182.63,3283141.0,58423.4221
2024-04-18,183.86,186.13,188.268,183.09,1654159.0,57938.1358
2024-04-19,180.9,183.3,185.96,177.65,3442481.0,57005.3779
2024-04-22,183.22,181.6,183.85,178.21,2327715.0,57736.4584
2024-04-23,188.25,183.97,189.75,183.97,2387335.0,59321.5168
2024-04-24,186.16,186.73,194.37,183.6473,2266444.0,58662.914
2024-04-25,188.01,185.6,190.5293,185.405,2908922.0,59245.8877
2024-04-26,188.37,186.915,189.38,185.63,1826633.0,59359.3313
2024-04-29,188.61,188.43,190.42,186.1401,2205548.0,59434.9603
2024-04-30,185.94,188.61,189.4,185.71,2173187.0,58593.5874
2024-05-01,184.56,186.25,188.205,183.92,2717087.0,58158.7205
2024-05-02,186.18,185.0,187.18,183.6,3071020.0,58669.2164
2024-05-03,194.86,189.33,197.27,188.0,3480155.0,61404.4662
2024-05-06,197.7,197.75,198.91,194.12,2707981.0,62299.4096
2024-05-07,200.56,198.7,205.08,197.35,2797320.0,63200.6555
2024-05-08,208.0,198.54,208.27,198.11,3992113.0,65545.1553
2024-05-09,215.91,205.43,215.95,203.0,4313536.0,68037.7619
2024-05-10,214.93,220.52,220.52,211.86,2744720.0,67728.9434
2024-05-13,213.59,217.0,218.675,212.59,1919292.0,67306.6814
2024-05-14,217.74,214.57,217.91,210.77,1950963.0,68614.4333
2024-05-15,223.31,220.14,224.72,219.76,2682183.0,70369.6569
2024-05-16,216.34,223.73,224.8,216.24,3539845.0,68173.2639
2024-05-17,213.11,216.36,217.712,209.91,3057314.0,67155.4233
2024-05-20,215.07,213.95,215.24,211.15,2326211.0,67773.0604
2024-05-21,222.59,215.93,222.67,215.5,1881133.0,70142.7698
2024-05-22,220.11,222.1,224.405,217.86,1573662.0,69361.2699
2024-05-23,221.16,223.78,228.05,220.74,2658302.0,69692.1469
2024-05-24,230.63,223.31,236.3,221.64,2672030.0,72676.3422
2024-05-28,231.27,232.74,234.78,221.82,2602184.0,72878.0196
2024-05-29,220.74,226.78,228.88,218.89,3809442.0,69559.7961
2024-05-30,224.96,222.33,225.29,220.0,2040804.0,70889.6064
2024-05-31,217.25,224.06,224.48,208.0,5618298.0,68460.024
2024-06-03,208.26,215.5,217.2,204.05,4922557.0,65627.0868
2024-06-04,203.14,206.99,208.5,196.84,4666701.0,64013.6675
2024-06-05,209.33,204.49,212.85,204.45,4502199.0,65964.2662
2024-06-06,202.6,209.5,209.81,196.21,4842086.0,63843.5022
2024-06-07,198.0,202.08,204.0,197.52,4558681.0,62393.9459
2024-06-10,214.63,199.53,214.77,198.132,5719572.0,67634.4071
2024-06-11,218.31,211.16,219.56,210.45,3701901.0,68794.0522
2024-06-12,218.13,221.27,221.77,212.15,3137889.0,68737.3304
2024-06-13,219.93,220.31,220.36,214.12,2238230.0,69304.5481
2024-06-14,214.9,218.8,218.87,210.96,2373790.0,67719.4898
2024-06-17,212.02,213.87,214.72,208.71,3321121.0,66811.9415
2024-06-18,220.41,212.79,221.2,209.115,2714738.0,69455.8062
2024-06-20,222.31,223.82,227.77,219.29,3075132.0,70054.5359
2024-06-21,218.13,223.0,224.58,215.7401,5513390.0,68737.3304
2024-06-24,216.1,218.0,220.85,215.3511,2474103.0,68097.6349
2024-06-25,222.37,216.5,222.46,214.18,2305127.0,70073.4432
2024-06-26,210.31,220.57,222.2,207.45,4237001.0,66273.0847
2024-06-27,204.78,207.59,207.92,201.26,4733575.0,64530.4659
2024-06-28,200.27,205.25,207.3,199.44,10579113.0,63109.2705
2024-07-01,205.05,208.19,213.59,203.14,4168356.0,64615.5485
2024-07-02,206.15,203.46,211.8,203.1,1905413.0,64962.1816
2024-07-03,210.07,205.31,212.43,202.01,1612681.0,66197.4557
2024-07-05,211.29,210.0,212.76,208.07,1601740.0,66581.9032
2024-07-08,215.73,211.83,216.43,211.25,1634597.0,67981.0402
2024-07-09,215.96,217.04,222.3698,215.06,1773626.0,68053.518
2024-07-10,219.55,218.18,219.96,213.7401,2584461.0,69184.8022
2024-07-11,216.84,219.56,220.5427,215.1901,2438194.0,68330.8244
2024-07-12,217.14,216.26,221.1399,212.307,1760776.0,68425.3607
2024-07-15,212.88,217.0,219.65,211.638,2164543.0,67082.9455
2024-07-16,204.88,214.14,215.01,204.06,4049649.0,64561.978
2024-07-17,186.67,202.13,203.06,185.77,6748654.0,58823.6257
2024-07-18,187.28,190.37,192.84,178.07,5484917.0,59015.8495
2024-07-19,189.3,188.02,189.94,186.4,2826978.0,59652.3938
2024-07-22,190.42,192.24,196.82,188.61,1868849.0,60005.3292
2024-07-23,189.87,189.67,192.1618,188.3,1856639.0,59832.0127
2024-07-24,175.08,188.29,188.29,174.7,4910286.0,55171.374
2024-07-25,170.43,176.7,176.84,165.87,5542015.0,53706.0616
2024-07-26,175.04,176.54,177.07,171.44,3469481.0,55158.7692
2024-07-29,172.68,176.05,177.1499,171.1282,2100141.0,54415.0837
2024-07-30,168.69,173.47,175.03,165.75,3517101.0,53157.7512
2024-07-31,189.8,193.28,196.5,183.0,7483724.0,59809.9542
2024-08-01,177.57,188.292,194.27,176.62,4482086.0,55956.0251
2024-08-02,167.08,174.47,175.33,161.438,6099151.0,52650.4065
2024-08-05,169.97,156.24,172.76,155.6,5430815.0,53561.106
2024-08-06,181.04,173.64,183.83,168.39,6322082.0,57049.4948
2024-08-07,179.66,190.09,190.09,176.9,6154894.0,56614.6279
2024-08-08,187.03,183.25,187.63,176.42,3338797.0,58937.0692
2024-08-09,189.87,187.08,190.1,183.07,3204019.0,59832.0127
2024-08-12,188.9,190.0,190.83,183.7,904847.0,59526.3435
