,DVN US Equity,DVN US Equity,DVN US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2014-01-02,61.16,24830.96,2061600.0
2014-01-03,61.03,24778.18,1735556.0
2014-01-06,60.25,24461.5,2566422.0
2014-01-07,61.48,24960.88,3499660.0
2014-01-08,61.31,24891.86,3503762.0
2014-01-09,60.78,24676.68,2831453.0
2014-01-10,60.53,24575.18,2296904.0
2014-01-13,59.18,24027.08,3198772.0
2014-01-14,59.78,24270.68,2414382.0
2014-01-15,59.21,24039.26,3032792.0
2014-01-16,59.37,24104.22,3042150.0
2014-01-17,59.01,23958.06,3311997.0
2014-01-21,59.68,24230.08,2750908.0
2014-01-22,60.41,24526.46,3092742.0
2014-01-23,60.12,24408.72,2484479.0
2014-01-24,59.52,24165.12,3823785.0
2014-01-27,58.67,23820.02,3576159.0
2014-01-28,59.29,24071.74,2483435.0
2014-01-29,59.01,23958.06,3097642.0
2014-01-30,59.67,24226.02,4712022.0
2014-01-31,59.22,24043.32,3442144.0
2014-02-03,57.85,23487.1,4388693.0
2014-02-04,59.32,24083.92,4608803.0
2014-02-05,59.08,23986.48,3927610.0
2014-02-06,60.45,24542.7,3738308.0
2014-02-07,61.02,24774.12,3020933.0
2014-02-10,60.8,24684.8,2284646.0
2014-02-11,61.54,24985.24,2033453.0
2014-02-12,61.18,24839.08,2341868.0
2014-02-13,62.27,25281.62,3316279.0
2014-02-14,62.05,25192.3,2318562.0
2014-02-18,62.91,25541.46,5137014.0
2014-02-19,64.25,26085.5,9710989.0
2014-02-20,64.56,26211.36,3788188.0
2014-02-21,63.67,25850.02,4596629.0
2014-02-24,64.37,26134.22,3368476.0
2014-02-25,63.91,25947.46,3765449.0
2014-02-26,63.73,25874.38,3244520.0
2014-02-27,64.31,26109.86,3066489.0
2014-02-28,64.42,26154.52,2457261.0
2014-03-03,63.78,25983.9716,3815535.0
2014-03-04,64.64,26334.3356,3990299.0
2014-03-05,64.47,26265.0776,2749667.0
2014-03-06,64.52,26285.4476,1684744.0
2014-03-07,65.13,26533.9616,2935738.0
2014-03-10,64.53,26289.5216,3192162.0
2014-03-11,63.55,25890.2696,2331425.0
2014-03-12,63.08,25698.7916,2251875.0
2014-03-13,62.59,25499.1656,2182942.0
2014-03-14,62.74,25560.2756,3086092.0
2014-03-17,62.8,25584.7196,2178930.0
2014-03-18,63.49,25865.8256,2154779.0
2014-03-19,63.46,25853.6036,2667865.0
2014-03-20,63.29,25784.3456,2870351.0
2014-03-21,64.09,26110.2656,3314000.0
2014-03-24,63.91,26036.9336,1560247.0
2014-03-25,63.96,26057.3036,2780263.0
2014-03-26,64.0,26073.5996,3440884.0
2014-03-27,64.69,26354.7056,3939558.0
2014-03-28,65.79,26802.8456,5840502.0
2014-03-31,66.93,27267.2816,5353409.0
2014-04-01,67.68,27572.8316,4251660.0
2014-04-02,67.89,27658.3856,3481003.0
2014-04-03,68.51,27910.9736,4800670.0
2014-04-04,68.01,27707.2736,3033368.0
2014-04-07,67.55,27519.8696,2344849.0
2014-04-08,67.85,27642.0896,3109015.0
2014-04-09,68.38,27858.0116,4998450.0
2014-04-10,68.61,27951.7136,5158542.0
2014-04-11,67.55,27519.8696,3824591.0
2014-04-14,67.79,27617.6456,4506316.0
2014-04-15,68.68,27980.2316,3481288.0
2014-04-16,69.86,28460.9636,3777898.0
2014-04-17,70.7,28803.1796,4003523.0
2014-04-21,70.5,28721.6996,3156826.0
2014-04-22,70.63,28799.5916,2246650.0
2014-04-23,71.31,29076.8636,2540210.0
2014-04-24,71.91,29321.5154,3872625.0
2014-04-25,70.4,28705.8084,4243664.0
2014-04-28,70.28,28656.878,2843717.0
2014-04-29,70.48,28738.4286,2153660.0
2014-04-30,70.0,28542.7072,4350614.0
2014-05-01,69.89,28497.8544,3104819.0
2014-05-02,70.28,28656.878,4054867.0
2014-05-05,70.35,28685.4208,2054182.0
2014-05-06,70.19,28620.1803,2746995.0
2014-05-07,73.06,29790.4313,8860707.0
2014-05-08,70.99,28946.3826,5886559.0
2014-05-09,70.73,28840.3669,3053719.0
2014-05-12,71.04,28977.2156,2026406.0
2014-05-13,72.43,29544.1966,4720872.0
2014-05-14,71.75,29266.8246,2694825.0
2014-05-15,70.74,28854.8456,4221501.0
2014-05-16,70.67,28826.2926,2497860.0
2014-05-19,71.28,29075.1116,2452582.0
2014-05-20,72.55,29593.1446,5440674.0
2014-05-21,73.54,29996.9656,3382846.0
2014-05-22,72.71,29658.4086,2571328.0
2014-05-23,72.65,29633.9346,2157342.0
2014-05-27,73.13,29829.7266,2698457.0
2014-05-28,73.44,29956.1756,3439231.0
2014-05-29,73.89,30139.7305,2233671.0
2014-05-30,73.9,30143.8095,2119220.0
2014-06-02,73.69,30058.1506,2125725.0
2014-06-03,74.7,30470.1295,3320149.0
2014-06-04,74.87,30539.4725,2139624.0
2014-06-05,74.79,30506.8405,2026918.0
2014-06-06,74.67,30457.8925,2091107.0
2014-06-09,74.45,30368.1545,2253564.0
2014-06-10,74.94,30568.0255,3388670.0
2014-06-11,76.42,31171.7175,5787386.0
2014-06-12,77.0,31408.2995,3781626.0
2014-06-13,78.04,31832.5155,3314847.0
2014-06-16,78.23,31910.0165,4048033.0
2014-06-17,78.12,31865.1475,2043375.0
2014-06-18,78.12,31865.1475,2798559.0
2014-06-19,78.49,32016.0705,2055276.0
2014-06-20,78.95,32203.7045,3133630.0
2014-06-23,78.87,32171.0725,2518322.0
2014-06-24,77.57,31640.8025,3652913.0
2014-06-25,79.46,32411.7335,2627824.0
2014-06-26,78.6,32060.9395,1943698.0
2014-06-27,79.5,32428.0495,1972694.0
2014-06-30,79.4,32387.2595,2669349.0
2014-07-01,79.08,32256.7315,2157143.0
2014-07-02,78.58,32052.7815,3311337.0
2014-07-03,79.21,32309.7585,1413704.0
2014-07-07,78.28,31930.4115,3289059.0
2014-07-08,78.14,31873.3055,3641038.0
2014-07-09,79.4,32387.2595,2215096.0
2014-07-10,78.1,31856.9895,3014217.0
2014-07-11,77.13,31461.3265,2920235.0
2014-07-14,77.81,31738.6985,2107623.0
2014-07-15,76.5,31204.3495,3398131.0
2014-07-16,77.89,31771.3305,2340138.0
2014-07-17,75.74,30894.3455,3876940.0
2014-07-18,77.01,31412.3785,2548510.0
2014-07-21,77.12,31457.2475,1915725.0
2014-07-22,78.15,31877.3845,3234607.0
2014-07-23,78.5,32020.1495,2044378.0
2014-07-24,79.03,32236.3365,2921698.0
2014-07-25,78.34,31954.8855,1194493.0
2014-07-28,77.82,31742.7775,1588946.0
2014-07-29,77.4,31571.4595,2180185.0
2014-07-30,77.31,31534.7485,2356256.0
2014-07-31,75.5,30796.4495,2800958.0
2014-08-01,75.09,30629.2105,2913848.0
2014-08-04,76.81,31330.7985,3236255.0
2014-08-05,74.59,30425.2605,3892630.0
2014-08-06,74.38,30428.8585,4806262.0
2014-08-07,73.47,30056.5774,2505740.0
2014-08-08,74.38,30428.8585,2153528.0
2014-08-11,74.2,30355.2205,1624660.0
2014-08-12,73.01,29868.3914,3239236.0
2014-08-13,72.63,29712.9334,2978904.0
2014-08-14,72.66,29725.2064,2744129.0
2014-08-15,73.34,30003.3944,2793189.0
2014-08-18,73.54,30085.2144,1883724.0
2014-08-19,74.28,30387.9485,1733705.0
2014-08-20,73.85,30212.0355,2637426.0
2014-08-21,74.9,30641.5905,1788377.0
2014-08-22,74.15,30334.7655,1487019.0
2014-08-25,74.7,30559.7705,1880779.0
2014-08-26,74.56,30502.4965,1937346.0
2014-08-27,74.28,30387.9485,1676594.0
2014-08-28,74.63,30531.1335,1314046.0
2014-08-29,75.42,30854.3225,1624161.0
2014-09-02,74.08,30306.1285,1947861.0
2014-09-03,74.18,30347.0385,1582699.0
2014-09-04,72.31,29582.0214,3207500.0
2014-09-05,72.74,29757.9344,2509547.0
2014-09-08,71.22,29136.1024,3205135.0
2014-09-09,70.75,28943.8254,3135054.0
2014-09-10,70.67,28911.0974,3478997.0
2014-09-11,70.63,28894.7334,2234759.0
2014-09-12,69.95,28616.5454,3610639.0
2014-09-15,70.27,28747.4574,2136822.0
2014-09-16,71.85,29393.8354,4246660.0
2014-09-17,71.57,29279.2874,2300490.0
2014-09-18,71.56,29275.1964,4937488.0
2014-09-19,70.97,29033.8274,4105446.0
2014-09-22,69.98,28628.8184,3970831.0
2014-09-23,69.91,28600.1814,2449045.0
2014-09-24,70.08,28669.7284,3788737.0
2014-09-25,68.7,28105.1704,2555784.0
2014-09-26,69.28,28342.4484,2407586.0
2014-09-29,69.58,28465.1784,2519916.0
2014-09-30,68.18,27892.4384,4124076.0
2014-10-01,67.07,27438.3374,3039608.0
2014-10-02,66.56,27229.6964,3325538.0
2014-10-03,65.44,26771.5044,3619994.0
2014-10-06,64.82,26517.8624,3878866.0
2014-10-07,63.61,26022.8514,3245926.0
2014-10-08,63.95,26161.9454,4571794.0
2014-10-09,61.3,25077.8304,5182510.0
2014-10-10,59.42,24308.7224,6457055.0
2014-10-13,56.56,23138.6963,5774372.0
2014-10-14,55.25,22602.7753,7618203.0
2014-10-15,55.14,22557.7743,8333264.0
2014-10-16,56.54,23130.5143,7999396.0
2014-10-17,58.17,23797.3474,8139501.0
2014-10-20,57.98,23719.6184,3820519.0
2014-10-21,60.06,24570.5464,5052705.0
2014-10-22,58.64,23989.6244,6715697.0
2014-10-23,60.01,24550.0914,3964771.0
2014-10-24,59.91,24509.1814,3196542.0
2014-10-27,57.33,23453.7033,4785904.0
2014-10-28,59.58,24374.1784,3230408.0
2014-10-29,59.73,24435.5434,3248745.0
2014-10-30,58.3,23850.5304,3562386.0
2014-10-31,60.0,24546.0004,4012109.0
2014-11-03,58.54,23948.7144,4689913.0
2014-11-04,56.02,22917.7823,6075728.0
2014-11-05,61.62,25208.7424,8913810.0
2014-11-06,62.56,25593.2964,5122889.0
2014-11-07,65.03,26603.7734,6779337.0
2014-11-10,64.21,26268.3114,6151411.0
2014-11-11,64.56,26411.4964,2718254.0
2014-11-12,64.07,26211.0374,3733740.0
2014-11-13,63.28,25887.8484,4072333.0
2014-11-14,64.18,26256.0384,2703419.0
2014-11-17,63.85,26121.0354,2843249.0
2014-11-18,64.49,26382.8594,3649541.0
2014-11-19,64.83,26521.9534,2778826.0
2014-11-20,66.76,27311.5164,3741944.0
2014-11-21,67.2,27491.5204,4342990.0
2014-11-24,66.29,27119.2394,3394684.0
2014-11-25,64.78,26501.4984,4136211.0
2014-11-26,64.02,26190.5824,2699642.0
2014-11-28,58.97,24124.6274,5443883.0
2014-12-01,59.94,24521.4544,7586887.0
2014-12-02,59.89,24500.9994,4325535.0
2014-12-03,60.92,24922.3724,3800473.0
2014-12-04,59.52,24349.6324,3995592.0
2014-12-05,59.9,24505.0904,4474206.0
2014-12-08,56.6,23155.0603,6298135.0
2014-12-09,57.2,23400.5203,6007448.0
2014-12-10,54.47,22283.6773,6895963.0
2014-12-11,53.84,22025.9443,4907950.0
2014-12-12,53.01,21686.3913,5612414.0
2014-12-15,52.66,21543.2063,5007324.0
2014-12-16,54.1,22132.3103,7297098.0
2014-12-17,58.47,23920.0774,7364029.0
2014-12-18,60.29,24664.6394,6041360.0
2014-12-19,61.31,25081.9214,7956574.0
2014-12-22,60.19,24623.7294,4689849.0
2014-12-23,61.47,25147.3774,3510624.0
2014-12-24,60.21,24631.9114,2185905.0
2014-12-26,60.83,24885.5534,2270405.0
2014-12-29,61.15,25016.4654,2503464.0
2014-12-30,61.06,24979.6464,3254999.0
2014-12-31,61.21,25041.0114,3720317.0
2015-01-02,60.96,24938.7364,3019780.0
2015-01-05,58.7,24014.1704,3867318.0
2015-01-06,57.5,23523.2504,4685851.0
2015-01-07,57.77,23633.7074,4208724.0
2015-01-08,59.82,24472.3624,4551836.0
2015-01-09,60.41,24713.7314,3556300.0
2015-01-12,59.13,24190.0834,4333086.0
2015-01-13,58.89,24091.8994,4911764.0
2015-01-14,58.5,23932.3504,5974009.0
2015-01-15,57.86,23670.5264,3758886.0
2015-01-16,60.7,24832.3704,5251960.0
2015-01-20,59.64,24398.7244,4769510.0
2015-01-21,61.6,25200.5604,4001528.0
2015-01-22,61.25,25057.3754,3888384.0
2015-01-23,60.16,24611.4564,3998287.0
2015-01-26,61.72,25249.6524,3336860.0
2015-01-27,62.1,25405.1104,2737509.0
2015-01-28,58.43,23903.7134,4752952.0
2015-01-29,58.72,24022.3524,3087218.0
2015-01-30,60.27,24656.4574,3792560.0
2015-02-02,62.84,25707.8444,4579567.0
2015-02-03,64.07,26211.0374,6447402.0
2015-02-04,64.0,26182.4004,5257023.0
2015-02-05,65.0,26591.5004,5249550.0
2015-02-06,65.27,26701.9574,4855212.0
2015-02-09,64.73,26481.0434,3941210.0
2015-02-10,64.18,26256.0384,4257443.0
2015-02-11,64.6,26427.8604,3883738.0
2015-02-12,65.78,26910.5984,4933463.0
2015-02-13,66.47,27192.8774,4872369.0
2015-02-17,66.65,27266.5154,4582023.0
2015-02-18,63.95,26161.9454,6840157.0
2015-02-19,64.41,26350.1314,4240556.0
2015-02-20,63.82,26236.4024,2771038.0
2015-02-23,63.95,26289.8454,2263478.0
2015-02-24,64.84,26655.7244,2992973.0
2015-02-25,65.45,26906.4954,3355778.0
2015-02-26,62.55,25714.3054,3561739.0
2015-02-27,61.59,25319.6494,3278286.0
2015-03-02,60.86,25019.5464,4529143.0
2015-03-03,61.25,25179.8754,3615455.0
2015-03-04,61.86,25430.6464,3745003.0
2015-03-05,60.83,25007.2134,2499598.0
2015-03-06,59.18,24328.8984,4572738.0
2015-03-09,58.04,23860.2444,2790027.0
2015-03-10,56.99,23428.5893,2809686.0
2015-03-11,57.84,23778.0244,7497025.0
2015-03-12,57.17,23502.5873,3328260.0
2015-03-13,57.7,23720.4704,3691933.0
2015-03-16,58.75,24152.1254,3568344.0
2015-03-17,58.05,23864.3554,2518528.0
2015-03-18,60.24,24764.6644,3533880.0
2015-03-19,58.26,23950.6864,2238246.0
2015-03-20,58.66,24115.1264,4336665.0
2015-03-23,57.97,23831.4674,2834887.0
2015-03-24,57.84,23778.0244,2868925.0
2015-03-25,59.64,24518.0044,6182096.0
2015-03-26,60.06,24690.6664,3811185.0
2015-03-27,59.15,24316.5654,2277434.0
2015-03-30,60.71,24957.8814,3248408.0
2015-03-31,60.31,24793.4414,3135490.0
2015-04-01,61.58,25315.5384,3582084.0
2015-04-02,62.55,25714.3054,4740544.0
2015-04-06,63.41,26067.8514,3923060.0
2015-04-07,63.33,26034.9634,3389159.0
2015-04-08,63.04,25915.7444,2821397.0
2015-04-09,64.94,26696.8344,3854839.0
2015-04-10,64.86,26663.9464,2341089.0
2015-04-13,64.58,26548.8384,2054682.0
2015-04-14,66.16,27198.3764,3168142.0
2015-04-15,66.95,27523.1454,4583190.0
2015-04-16,66.59,27375.1494,3463459.0
2015-04-17,65.92,27099.7124,2354381.0
2015-04-20,66.67,27408.0374,2240053.0
2015-04-21,65.28,26832.7993,2600099.0
2015-04-22,65.83,27058.8722,3298413.0
2015-04-23,66.3,27252.0618,2764404.0
2015-04-24,66.5,27334.2702,3820449.0
2015-04-27,66.56,27358.9327,3083070.0
2015-04-28,67.48,27737.091,2873179.0
2015-04-29,68.95,28341.3222,4664589.0
2015-04-30,68.21,28037.1514,3388739.0
2015-05-01,68.61,28201.5681,5235184.0
2015-05-04,69.03,28374.2055,2817668.0
2015-05-05,66.65,27395.9264,5707484.0
2015-05-06,67.48,27741.0284,5887327.0
2015-05-07,66.47,27325.8174,4426595.0
2015-05-08,67.89,27909.5794,3639030.0
2015-05-11,66.46,27321.7064,3657859.0
2015-05-12,67.57,27778.0274,2659298.0
2015-05-13,65.95,27112.0454,3437377.0
2015-05-14,65.68,27001.0484,2020494.0
2015-05-15,65.86,27075.0464,2443043.0
2015-05-18,66.24,27231.2644,2007915.0
2015-05-19,64.78,26631.0584,2795399.0
2015-05-20,65.82,27058.6024,2945595.0
2015-05-21,67.51,27753.3614,2922325.0
2015-05-22,67.47,27736.9174,2312128.0
2015-05-26,66.29,27251.8194,2577789.0
2015-05-27,66.05,27153.1554,1970482.0
2015-05-28,65.38,26877.7184,2167640.0
2015-05-29,65.22,26811.9424,2596449.0
2015-06-01,64.47,26503.6174,3266044.0
2015-06-02,64.83,26651.6134,2395580.0
2015-06-03,63.91,26273.4014,2378599.0
2015-06-04,63.08,25932.1884,3106934.0
2015-06-05,63.8,26228.1804,2740514.0
2015-06-08,62.5,25693.7504,3319925.0
2015-06-09,62.12,25537.5324,3569410.0
2015-06-10,63.81,26232.2914,4079356.0
2015-06-11,62.94,25874.6344,3200515.0
2015-06-12,61.87,25434.7574,3120345.0
2015-06-15,61.63,25336.0934,2137900.0
2015-06-16,62.46,25677.3064,2184449.0
2015-06-17,61.64,25340.2044,2355149.0
2015-06-18,61.44,25257.9844,1988593.0
2015-06-19,60.97,25064.7674,2928318.0
2015-06-22,61.35,25220.9854,1901264.0
2015-06-23,61.43,25253.8734,1780442.0
2015-06-24,61.09,25114.0994,1545000.0
2015-06-25,60.38,24822.2184,2552868.0
2015-06-26,60.46,24855.1064,2538958.0
2015-06-29,58.82,24180.9024,2931155.0
2015-06-30,59.49,24456.3394,3291832.0
2015-07-01,57.73,23732.8034,3556684.0
2015-07-02,57.87,23790.3574,2826236.0
2015-07-06,56.68,23301.1483,3255677.0
2015-07-07,57.32,23564.2523,3506195.0
2015-07-08,55.55,22836.6053,3024937.0
2015-07-09,55.94,22996.9343,2548132.0
2015-07-10,55.85,22959.9353,2757432.0
2015-07-13,55.4,22774.9403,3272705.0
2015-07-14,56.14,23079.1543,3200343.0
2015-07-15,54.84,22544.7243,3564590.0
2015-07-16,54.37,22351.5073,2904957.0
2015-07-17,53.64,22051.4043,2783050.0
2015-07-20,51.83,21307.3133,4678796.0
2015-07-21,52.08,21410.0883,4347537.0
2015-07-22,51.14,21023.6543,3855370.0
2015-07-23,51.16,21031.8763,3548659.0
2015-07-24,49.4,20308.3403,5020958.0
2015-07-27,48.83,20074.0133,5668912.0
2015-07-28,49.99,20550.8893,4905783.0
2015-07-29,51.18,21040.0983,4438469.0
2015-07-30,50.61,20805.7713,3516347.0
2015-07-31,49.42,20316.5623,3978083.0
2015-08-03,48.36,19880.7963,4218650.0
2015-08-04,48.74,20037.0143,4692229.0
2015-08-05,46.95,19296.45,7958095.0
2015-08-06,48.3,19851.3,5896851.0
2015-08-07,46.41,19074.51,4363082.0
2015-08-10,47.88,19678.68,6412611.0
2015-08-11,47.3,19440.3,5708444.0
2015-08-12,47.88,19678.68,5426927.0
2015-08-13,46.01,18910.11,5170484.0
2015-08-14,46.06,18930.66,5960245.0
2015-08-17,46.41,19074.51,3443780.0
2015-08-18,46.22,18996.42,3961760.0
2015-08-19,44.66,18355.26,4362905.0
2015-08-20,42.81,17594.91,5362209.0
2015-08-21,41.09,16887.99,5713385.0
2015-08-24,38.08,15650.88,10777702.0
2015-08-25,36.63,15054.93,7888125.0
2015-08-26,38.45,15802.95,7326198.0
2015-08-27,40.78,16760.58,9059072.0
2015-08-28,42.2,17344.2,8502752.0
2015-08-31,42.66,17533.26,7125409.0
2015-09-01,40.33,16575.63,6676825.0
2015-09-02,40.72,16735.92,5348719.0
2015-09-03,40.83,16781.13,5354993.0
2015-09-04,40.14,16497.54,3856633.0
2015-09-08,40.5,16645.5,4629547.0
2015-09-09,39.69,16312.59,7706443.0
2015-09-10,39.99,16435.89,5857514.0
2015-09-11,38.84,15963.24,4692250.0
2015-09-14,38.91,15992.01,4433471.0
2015-09-15,39.17,16098.87,3161354.0
2015-09-16,41.05,16871.55,4303404.0
2015-09-17,40.81,16772.91,5200373.0
2015-09-18,39.78,16349.58,5718954.0
2015-09-21,40.33,16575.63,3387105.0
2015-09-22,39.5,16234.5,5051130.0
2015-09-23,38.15,15679.65,4003288.0
2015-09-24,38.6,15864.6,4799257.0
2015-09-25,38.47,15811.17,4253946.0
2015-09-28,36.75,15104.25,5788731.0
2015-09-29,36.43,14972.73,5113712.0
2015-09-30,37.09,15243.99,6573617.0
2015-10-01,37.75,15515.25,5624703.0
2015-10-02,40.72,16735.92,6483089.0
2015-10-05,42.92,17640.12,7163860.0
2015-10-06,43.75,17981.25,6607049.0
2015-10-07,43.86,18026.46,6413650.0
2015-10-08,44.67,18359.37,4656396.0
2015-10-09,45.24,18593.64,5791879.0
2015-10-12,43.99,18079.89,4031002.0
2015-10-13,43.72,17968.92,3101013.0
2015-10-14,44.65,18351.15,3540994.0
2015-10-15,45.67,18770.37,3732622.0
2015-10-16,46.43,19082.73,5131022.0
2015-10-19,45.28,18610.08,4345200.0
2015-10-20,45.69,18778.59,2997187.0
2015-10-21,43.9,18042.9,6878871.0
2015-10-22,44.75,18392.25,4389186.0
2015-10-23,44.96,18478.56,3300348.0
2015-10-26,42.79,17586.69,3984463.0
2015-10-27,41.2,16933.2,5464034.0
2015-10-28,41.56,17081.16,6544690.0
2015-10-29,41.04,16867.44,5636427.0
2015-10-30,41.93,17233.23,5756528.0
2015-11-02,43.13,17726.43,5429977.0
2015-11-03,45.22,18585.42,6572522.0
2015-11-04,46.49,19107.39,9572484.0
2015-11-05,47.51,19526.61,6390839.0
2015-11-06,46.87,19263.57,5704332.0
2015-11-09,46.98,19308.78,5301087.0
2015-11-10,47.76,19629.36,5134432.0
2015-11-11,45.62,18749.82,4244233.0
2015-11-12,45.06,18519.66,6082563.0
2015-11-13,45.05,18515.55,5084908.0
2015-11-16,46.5,19111.5,3911687.0
2015-11-17,45.91,18869.01,3767093.0
2015-11-18,47.07,19345.77,3163423.0
2015-11-19,45.98,18897.78,3658242.0
2015-11-20,45.25,18597.75,3969481.0
2015-11-23,44.93,18466.23,3055213.0
2015-11-24,46.55,19132.05,3128041.0
2015-11-25,45.91,18869.01,2294449.0
2015-11-27,44.87,18441.57,1170211.0
2015-11-30,46.01,18910.11,4405726.0
2015-12-01,46.49,19107.39,3805240.0
2015-12-02,43.53,17890.83,4783966.0
2015-12-03,41.1,16892.1,9820844.0
2015-12-04,40.53,16657.83,5912416.0
2015-12-07,36.44,14976.84,11420245.0
2015-12-08,35.19,14463.09,13144216.0
2015-12-09,35.32,14516.52,7916082.0
2015-12-10,35.51,14594.61,6799667.0
2015-12-11,33.55,13789.05,5925446.0
2015-12-14,31.54,12962.94,11006438.0
2015-12-15,31.87,13098.57,7808522.0
2015-12-16,30.57,12564.27,8350471.0
2015-12-17,28.98,11910.78,15841423.0
